task_name,model,permutation,n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss
responsive_vs_lor_all_phases,confounds_motion_propofol,1,147,26,0.3469387755102041,0.39869281045751637,0.2962904782891298,0.44270833333333337,0.47619047619047616,0.25734070736688586,0.7080789628281289
responsive_vs_lor_all_phases,confounds_motion_propofol,2,147,26,0.3469387755102041,0.403390522875817,0.287765989427152,0.45925245098039214,0.4557823129251701,0.2606087954092725,0.7151095265678327
responsive_vs_lor_all_phases,confounds_motion_propofol,3,147,26,0.3469387755102041,0.451593137254902,0.30561390896595764,0.49724264705882354,0.46938775510204084,0.2587515709577783,0.7111770891118534
responsive_vs_lor_all_phases,confounds_motion_propofol,4,147,26,0.3469387755102041,0.494485294117647,0.35679690073771975,0.4310661764705882,0.4489795918367347,0.2559302966622329,0.706106620376439
responsive_vs_lor_all_phases,confounds_motion_propofol,5,147,26,0.3469387755102041,0.4185049019607843,0.31241974891969265,0.508578431372549,0.54421768707483,0.2600452723135241,0.7142394282965565
responsive_vs_lor_all_phases,confounds_motion_propofol,6,147,26,0.3469387755102041,0.6427696078431373,0.45403489789321183,0.6044730392156863,0.6394557823129252,0.24092605594570213,0.6878697717111263
responsive_vs_lor_all_phases,confounds_motion_propofol,7,147,26,0.3469387755102041,0.4452614379084967,0.3237387706540742,0.44669117647058826,0.46938775510204084,0.2594021292985523,0.7127462683667358
responsive_vs_lor_all_phases,confounds_motion_propofol,8,147,26,0.3469387755102041,0.585171568627451,0.45486813779169594,0.6170343137254902,0.6258503401360545,0.2445978351434092,0.6843839937724756
responsive_vs_lor_all_phases,confounds_motion_propofol,9,147,26,0.3469387755102041,0.47998366013071897,0.38657797573784025,0.53125,0.5918367346938775,0.2515310898075422,0.702045498821369
responsive_vs_lor_all_phases,confounds_motion_propofol,10,147,26,0.3469387755102041,0.6323529411764706,0.47089219151582146,0.5830269607843137,0.6054421768707483,0.23734727570937117,0.6698772767692384
responsive_vs_lor_all_phases,confounds_motion_propofol,11,147,26,0.3469387755102041,0.3917483660130719,0.29926163756832536,0.47334558823529416,0.5102040816326531,0.2593924645815817,0.7124166115332544
responsive_vs_lor_all_phases,confounds_motion_propofol,12,147,26,0.3469387755102041,0.5281862745098039,0.3817553363600191,0.5119485294117647,0.5306122448979592,0.25384020789831985,0.7032118402189665
responsive_vs_lor_all_phases,confounds_motion_propofol,13,147,26,0.3469387755102041,0.5216503267973857,0.3413509966175508,0.5520833333333333,0.5170068027210885,0.2546692923516659,0.7041500366936597
