subject,subject_brier,subject_log_loss,n_rows,task_name,model
sub-02,0.0015139123793575819,0.033314691301331543,3,awake_base1_vs_lor,confounds_motion_propofol
sub-03,0.001370779711955707,0.031499422910612536,3,awake_base1_vs_lor,confounds_motion_propofol
sub-04,0.0019402510467423637,0.03456739909662197,3,awake_base1_vs_lor,confounds_motion_propofol
sub-05,0.0003962196853610236,0.019117155433778277,3,awake_base1_vs_lor,confounds_motion_propofol
sub-06,0.002759522554773885,0.041279101679154676,3,awake_base1_vs_lor,confounds_motion_propofol
sub-07,0.002249576857834526,0.03887894895510328,3,awake_base1_vs_lor,confounds_motion_propofol
sub-11,0.024532864647166,0.14109214292068892,3,awake_base1_vs_lor,confounds_motion_propofol
sub-12,0.0007818237791709077,0.027314910530455944,3,awake_base1_vs_lor,confounds_motion_propofol
sub-13,0.00038644302976418703,0.019723298639964384,3,awake_base1_vs_lor,confounds_motion_propofol
sub-14,0.017839457062856282,0.12451868970789821,3,awake_base1_vs_lor,confounds_motion_propofol
sub-15,0.1681732282132585,0.46895787236731984,3,awake_base1_vs_lor,confounds_motion_propofol
sub-16,0.00015692926973635065,0.009352511204459013,2,awake_base1_vs_lor,confounds_motion_propofol
sub-17,0.01498070572181171,0.11428058750215835,3,awake_base1_vs_lor,confounds_motion_propofol
sub-18,0.00011641474330682909,0.008162909313089113,3,awake_base1_vs_lor,confounds_motion_propofol
sub-19,0.08844168922147588,0.2527928861096957,3,awake_base1_vs_lor,confounds_motion_propofol
sub-20,9.117770295882858e-05,0.005835385873995089,3,awake_base1_vs_lor,confounds_motion_propofol
sub-21,0.00014846869093908846,0.010786669134749023,3,awake_base1_vs_lor,confounds_motion_propofol
sub-22,0.0001109083874963347,0.008098031794862822,3,awake_base1_vs_lor,confounds_motion_propofol
sub-23,0.0001272657180454424,0.008879673523386967,3,awake_base1_vs_lor,confounds_motion_propofol
sub-24,0.004298813132562299,0.056172413825940265,3,awake_base1_vs_lor,confounds_motion_propofol
sub-25,0.00015034406612960094,0.009302844897767422,3,awake_base1_vs_lor,confounds_motion_propofol
sub-26,0.0005209351208384541,0.02293326568097104,3,awake_base1_vs_lor,confounds_motion_propofol
sub-27,0.0016758854524913716,0.038117043719752386,3,awake_base1_vs_lor,confounds_motion_propofol
sub-28,0.0001999517950498402,0.011811034276482954,3,awake_base1_vs_lor,confounds_motion_propofol
sub-29,0.00018844596912926333,0.008022921577474862,3,awake_base1_vs_lor,confounds_motion_propofol
sub-30,0.00026890087687696614,0.014505447970114804,3,awake_base1_vs_lor,confounds_motion_propofol
sub-02,0.0003294389493573558,0.01703735088431729,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-03,0.00048112576125321866,0.017875833761544502,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-04,0.0031164461168897597,0.042125683535924385,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-05,0.000435038131417295,0.01763095542343432,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-06,0.008442329728716733,0.07179831455522212,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-07,0.0013971960491946944,0.029808068173293234,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-11,0.004725304708556041,0.061590253963736664,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-12,0.00046692399121928975,0.02116672875416156,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-13,0.0005117029092489374,0.02006838449550093,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-14,0.01716847667780477,0.12094694171430126,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-15,0.07548981815058535,0.27595470586560394,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-16,0.00010994198794947982,0.00756099230745209,2,awake_base1_vs_lor,standard_fc_plus_confounds
sub-17,0.03994027139326504,0.19612011501495621,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-18,9.940701185916066e-05,0.008043811133208836,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-19,0.08861860183180321,0.24942591582915197,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-20,0.0001778022864009625,0.00839863096031599,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-21,0.00033784976785340075,0.014701118908699582,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-22,0.0001008334511013215,0.009865679762440852,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-23,3.93830388905261e-05,0.0059612575640555,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-24,0.028043356214647073,0.14082290259549243,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-25,0.00020088187287014943,0.0105096747411801,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-26,0.0004622074583213493,0.021018261892792465,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-27,0.00037677320904032623,0.016913461722925717,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-28,0.0001432878904879012,0.011326536099827028,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-29,5.724735275506595e-05,0.004399561254075371,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-30,0.00025120116636068797,0.014154680783706797,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-02,0.0003171407058005195,0.016490493658986482,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-03,0.0004909455831930479,0.01739335865796951,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-04,0.00290998699201783,0.04048034206157173,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-05,0.0004075931530578263,0.017278097489544886,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-06,0.009997752448513978,0.07871930147363605,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-07,0.0012446731548082606,0.028925988125619664,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-11,0.00493534126795937,0.06266627440993011,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-12,0.0004125204207718253,0.02029371779450341,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-13,0.0003736992438234577,0.017926993936887004,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-14,0.016620024706320454,0.11835504573425322,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-15,0.07375611118439261,0.27167763416305335,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-16,0.00011627970202491825,0.007838493980197326,2,awake_base1_vs_lor,gcc_core_plus_confounds
sub-17,0.038396641156857446,0.18974814524315872,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-18,0.0001105611016473242,0.00831111563564287,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-19,0.07208656823190844,0.21618805524354692,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-20,0.00018213818399469997,0.008519120364017604,3,awake_base1_vs_lor,gcc_core_plus_confounds
